module_name,module_slug,book,family,source_path,source_commit,line_count,url,upstream_url
TauLib,taulib,,,taulib-sources/project/TauLib.lean,cb5e83015b54dd72eba560953fe2461820078757,44,/corpus/taulib/docs/taulib/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib.lean
TauLib.BookI,book-i,BookI,,taulib-sources/project/TauLib/BookI.lean,cb5e83015b54dd72eba560953fe2461820078757,138,/corpus/taulib/docs/book-i/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI.lean
TauLib.BookI.Addressability.AddressResolution,book-i-addressability-address-resolution,BookI,Addressability,taulib-sources/project/TauLib/BookI/Addressability/AddressResolution.lean,cb5e83015b54dd72eba560953fe2461820078757,161,/corpus/taulib/docs/book-i-addressability-address-resolution/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/AddressResolution.lean
TauLib.BookI.Addressability.CayleyMetric,book-i-addressability-cayley-metric,BookI,Addressability,taulib-sources/project/TauLib/BookI/Addressability/CayleyMetric.lean,cb5e83015b54dd72eba560953fe2461820078757,128,/corpus/taulib/docs/book-i-addressability-cayley-metric/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/CayleyMetric.lean
TauLib.BookI.Addressability.HingeIntegration,book-i-addressability-hinge-integration,BookI,Addressability,taulib-sources/project/TauLib/BookI/Addressability/HingeIntegration.lean,cb5e83015b54dd72eba560953fe2461820078757,326,/corpus/taulib/docs/book-i-addressability-hinge-integration/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/HingeIntegration.lean
TauLib.BookI.Addressability.OnticUltrametric,book-i-addressability-ontic-ultrametric,BookI,Addressability,taulib-sources/project/TauLib/BookI/Addressability/OnticUltrametric.lean,cb5e83015b54dd72eba560953fe2461820078757,171,/corpus/taulib/docs/book-i-addressability-ontic-ultrametric/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/OnticUltrametric.lean
TauLib.BookI.Boundary.Bridge.TauIntQuotient,book-i-boundary-bridge-tau-int-quotient,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauIntQuotient.lean,cb5e83015b54dd72eba560953fe2461820078757,352,/corpus/taulib/docs/book-i-boundary-bridge-tau-int-quotient/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauIntQuotient.lean
TauLib.BookI.Boundary.Bridge.TauRatQuotient,book-i-boundary-bridge-tau-rat-quotient,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRatQuotient.lean,cb5e83015b54dd72eba560953fe2461820078757,443,/corpus/taulib/docs/book-i-boundary-bridge-tau-rat-quotient/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRatQuotient.lean
TauLib.BookI.Boundary.Bridge.TauRealCongruence,book-i-boundary-bridge-tau-real-congruence,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRealCongruence.lean,cb5e83015b54dd72eba560953fe2461820078757,430,/corpus/taulib/docs/book-i-boundary-bridge-tau-real-congruence/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRealCongruence.lean
TauLib.BookI.Boundary.Bridge.TauRealQuotient,book-i-boundary-bridge-tau-real-quotient,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRealQuotient.lean,cb5e83015b54dd72eba560953fe2461820078757,339,/corpus/taulib/docs/book-i-boundary-bridge-tau-real-quotient/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRealQuotient.lean
TauLib.BookI.Boundary.Characters,book-i-boundary-characters,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Characters.lean,cb5e83015b54dd72eba560953fe2461820078757,302,/corpus/taulib/docs/book-i-boundary-characters/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Characters.lean
TauLib.BookI.Boundary.ComplexField,book-i-boundary-complex-field,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/ComplexField.lean,cb5e83015b54dd72eba560953fe2461820078757,362,/corpus/taulib/docs/book-i-boundary-complex-field/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/ComplexField.lean
TauLib.BookI.Boundary.ConstructiveReals,book-i-boundary-constructive-reals,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/ConstructiveReals.lean,cb5e83015b54dd72eba560953fe2461820078757,428,/corpus/taulib/docs/book-i-boundary-constructive-reals/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/ConstructiveReals.lean
TauLib.BookI.Boundary.CouplingIdentityApproximants,book-i-boundary-coupling-identity-approximants,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/CouplingIdentityApproximants.lean,cb5e83015b54dd72eba560953fe2461820078757,312,/corpus/taulib/docs/book-i-boundary-coupling-identity-approximants/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/CouplingIdentityApproximants.lean
TauLib.BookI.Boundary.Cyclotomic,book-i-boundary-cyclotomic,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Cyclotomic.lean,cb5e83015b54dd72eba560953fe2461820078757,189,/corpus/taulib/docs/book-i-boundary-cyclotomic/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Cyclotomic.lean
TauLib.BookI.Boundary.DefectInverseSystem,book-i-boundary-defect-inverse-system,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/DefectInverseSystem.lean,cb5e83015b54dd72eba560953fe2461820078757,389,/corpus/taulib/docs/book-i-boundary-defect-inverse-system/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/DefectInverseSystem.lean
TauLib.BookI.Boundary.Fourier,book-i-boundary-fourier,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Fourier.lean,cb5e83015b54dd72eba560953fe2461820078757,264,/corpus/taulib/docs/book-i-boundary-fourier/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Fourier.lean
TauLib.BookI.Boundary.Galois,book-i-boundary-galois,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Galois.lean,cb5e83015b54dd72eba560953fe2461820078757,294,/corpus/taulib/docs/book-i-boundary-galois/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Galois.lean
TauLib.BookI.Boundary.Integration,book-i-boundary-integration,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Integration.lean,cb5e83015b54dd72eba560953fe2461820078757,137,/corpus/taulib/docs/book-i-boundary-integration/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Integration.lean
TauLib.BookI.Boundary.Iota,book-i-boundary-iota,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Iota.lean,cb5e83015b54dd72eba560953fe2461820078757,157,/corpus/taulib/docs/book-i-boundary-iota/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Iota.lean
TauLib.BookI.Boundary.IotaTauStructural,book-i-boundary-iota-tau-structural,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/IotaTauStructural.lean,cb5e83015b54dd72eba560953fe2461820078757,252,/corpus/taulib/docs/book-i-boundary-iota-tau-structural/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/IotaTauStructural.lean
TauLib.BookI.Boundary.Measure,book-i-boundary-measure,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Measure.lean,cb5e83015b54dd72eba560953fe2461820078757,256,/corpus/taulib/docs/book-i-boundary-measure/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Measure.lean
TauLib.BookI.Boundary.NumberTower,book-i-boundary-number-tower,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/NumberTower.lean,cb5e83015b54dd72eba560953fe2461820078757,441,/corpus/taulib/docs/book-i-boundary-number-tower/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/NumberTower.lean
TauLib.BookI.Boundary.NumericalProjection,book-i-boundary-numerical-projection,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/NumericalProjection.lean,cb5e83015b54dd72eba560953fe2461820078757,288,/corpus/taulib/docs/book-i-boundary-numerical-projection/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/NumericalProjection.lean
TauLib.BookI.Boundary.Quaternions,book-i-boundary-quaternions,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Quaternions.lean,cb5e83015b54dd72eba560953fe2461820078757,321,/corpus/taulib/docs/book-i-boundary-quaternions/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Quaternions.lean
TauLib.BookI.Boundary.RefinementGrowingTorus,book-i-boundary-refinement-growing-torus,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/RefinementGrowingTorus.lean,cb5e83015b54dd72eba560953fe2461820078757,313,/corpus/taulib/docs/book-i-boundary-refinement-growing-torus/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/RefinementGrowingTorus.lean
TauLib.BookI.Boundary.Ring,book-i-boundary-ring,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Ring.lean,cb5e83015b54dd72eba560953fe2461820078757,345,/corpus/taulib/docs/book-i-boundary-ring/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Ring.lean
TauLib.BookI.Boundary.Spectral,book-i-boundary-spectral,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/Spectral.lean,cb5e83015b54dd72eba560953fe2461820078757,235,/corpus/taulib/docs/book-i-boundary-spectral/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Spectral.lean
TauLib.BookI.Boundary.SplitComplex,book-i-boundary-split-complex,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/SplitComplex.lean,cb5e83015b54dd72eba560953fe2461820078757,348,/corpus/taulib/docs/book-i-boundary-split-complex/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/SplitComplex.lean
TauLib.BookI.Boundary.TauRatAbs,book-i-boundary-tau-rat-abs,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/TauRatAbs.lean,cb5e83015b54dd72eba560953fe2461820078757,251,/corpus/taulib/docs/book-i-boundary-tau-rat-abs/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatAbs.lean
TauLib.BookI.Boundary.TauRatField,book-i-boundary-tau-rat-field,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/TauRatField.lean,cb5e83015b54dd72eba560953fe2461820078757,230,/corpus/taulib/docs/book-i-boundary-tau-rat-field/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatField.lean
TauLib.BookI.Boundary.TauRatInv,book-i-boundary-tau-rat-inv,BookI,Boundary,taulib-sources/project/TauLib/BookI/Boundary/TauRatInv.lean,cb5e83015b54dd72eba560953fe2461820078757,202,/corpus/taulib/docs/book-i-boundary-tau-rat-inv/,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatInv.lean
