module,path,upstream_path,book,family,line_count,sha256,upstream_url,verify_url
TauLib.BookI.Boundary.Cyclotomic,taulib-sources/project/TauLib/BookI/Boundary/Cyclotomic.lean,TauLib/BookI/Boundary/Cyclotomic.lean,BookI,Boundary,189,263c1201c8412549ed0263bd8749c875c25ab2264de6dc66cd64a9d397dc91f6,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Cyclotomic.lean,/corpus/taulib/docs/book-i-boundary-cyclotomic/
TauLib.BookI.Boundary.DefectInverseSystem,taulib-sources/project/TauLib/BookI/Boundary/DefectInverseSystem.lean,TauLib/BookI/Boundary/DefectInverseSystem.lean,BookI,Boundary,389,1f6c3f147b1eec9eb095304971b51e34b11448fdf60806382e427b0fddb3c26a,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/DefectInverseSystem.lean,/corpus/taulib/docs/book-i-boundary-defect-inverse-system/
TauLib.BookI.Boundary.Fourier,taulib-sources/project/TauLib/BookI/Boundary/Fourier.lean,TauLib/BookI/Boundary/Fourier.lean,BookI,Boundary,264,819bcfc7234447bb2c9c86f8dd756ce25a665d87a0a7a2046f046ac5796c7d43,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Fourier.lean,/corpus/taulib/docs/book-i-boundary-fourier/
TauLib.BookI.Boundary.Galois,taulib-sources/project/TauLib/BookI/Boundary/Galois.lean,TauLib/BookI/Boundary/Galois.lean,BookI,Boundary,294,d18bd3cda18b9ea4ce069f755fdded4a3f0f5037c3ee4ca3b18f59148d279214,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Galois.lean,/corpus/taulib/docs/book-i-boundary-galois/
TauLib.BookI.Boundary.Integration,taulib-sources/project/TauLib/BookI/Boundary/Integration.lean,TauLib/BookI/Boundary/Integration.lean,BookI,Boundary,137,4706793127cdbbcf885f8287166bc0ba7d803fb4bd98e8579d8a1fd5e5ddbb7a,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Integration.lean,/corpus/taulib/docs/book-i-boundary-integration/
TauLib.BookI.Boundary.Iota,taulib-sources/project/TauLib/BookI/Boundary/Iota.lean,TauLib/BookI/Boundary/Iota.lean,BookI,Boundary,157,9ff3d7baa03d3c0c90706b131b8471b121a190cc15de25399d0830a35a04d4ed,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Iota.lean,/corpus/taulib/docs/book-i-boundary-iota/
TauLib.BookI.Boundary.IotaTauStructural,taulib-sources/project/TauLib/BookI/Boundary/IotaTauStructural.lean,TauLib/BookI/Boundary/IotaTauStructural.lean,BookI,Boundary,252,479aeab54bf0af0393375907e93f37a9fba8d6176f73d0f127e75df85d5fac1d,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/IotaTauStructural.lean,/corpus/taulib/docs/book-i-boundary-iota-tau-structural/
TauLib.BookI.Boundary.Measure,taulib-sources/project/TauLib/BookI/Boundary/Measure.lean,TauLib/BookI/Boundary/Measure.lean,BookI,Boundary,256,69f95c1bdfbb7cf8840b12c81eac967cbc7050d27fd0c536b28bc9525b889ec9,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Measure.lean,/corpus/taulib/docs/book-i-boundary-measure/
TauLib.BookI.Boundary.NumberTower,taulib-sources/project/TauLib/BookI/Boundary/NumberTower.lean,TauLib/BookI/Boundary/NumberTower.lean,BookI,Boundary,441,6b9e18b32208095c80cd5a1957a0c97b7d089c6d890fc64f8375fadeb6895e73,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/NumberTower.lean,/corpus/taulib/docs/book-i-boundary-number-tower/
TauLib.BookI.Boundary.NumericalProjection,taulib-sources/project/TauLib/BookI/Boundary/NumericalProjection.lean,TauLib/BookI/Boundary/NumericalProjection.lean,BookI,Boundary,288,3900d57e38369488a7e5d6ad145b225ac37f03449d9e1c6dae37a5269947961d,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/NumericalProjection.lean,/corpus/taulib/docs/book-i-boundary-numerical-projection/
TauLib.BookI.Boundary.Quaternions,taulib-sources/project/TauLib/BookI/Boundary/Quaternions.lean,TauLib/BookI/Boundary/Quaternions.lean,BookI,Boundary,321,186adf0fe169aa6044606f7aec488f690e2a0cc8dd654c870a36196fe93ac870,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Quaternions.lean,/corpus/taulib/docs/book-i-boundary-quaternions/
TauLib.BookI.Boundary.RefinementGrowingTorus,taulib-sources/project/TauLib/BookI/Boundary/RefinementGrowingTorus.lean,TauLib/BookI/Boundary/RefinementGrowingTorus.lean,BookI,Boundary,313,5189e9e6bbb438e11483c24bf7c195be0245a72ad6401d895bd9feeca3df6647,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/RefinementGrowingTorus.lean,/corpus/taulib/docs/book-i-boundary-refinement-growing-torus/
TauLib.BookI.Boundary.Ring,taulib-sources/project/TauLib/BookI/Boundary/Ring.lean,TauLib/BookI/Boundary/Ring.lean,BookI,Boundary,345,60f8fa17b6c97aa8efccc43b511eead34a6401b387042f6b73c4977ef5aae797,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Ring.lean,/corpus/taulib/docs/book-i-boundary-ring/
TauLib.BookI.Boundary.Spectral,taulib-sources/project/TauLib/BookI/Boundary/Spectral.lean,TauLib/BookI/Boundary/Spectral.lean,BookI,Boundary,235,9d774b46bc2c6c0bcafd0fd491bf9ddf672340eb415a423e410d64edf868cef4,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Spectral.lean,/corpus/taulib/docs/book-i-boundary-spectral/
TauLib.BookI.Boundary.SplitComplex,taulib-sources/project/TauLib/BookI/Boundary/SplitComplex.lean,TauLib/BookI/Boundary/SplitComplex.lean,BookI,Boundary,348,85d58abbeffd44a2166367786faf3b127dd450fe6c6fbec305a14cf43b5d4452,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/SplitComplex.lean,/corpus/taulib/docs/book-i-boundary-split-complex/
TauLib.BookI.Boundary.TauRatAbs,taulib-sources/project/TauLib/BookI/Boundary/TauRatAbs.lean,TauLib/BookI/Boundary/TauRatAbs.lean,BookI,Boundary,251,1c4c0bb1d82648bb2a8627700353e9974a758b3045d9b2e705ce6c04c1353d94,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatAbs.lean,/corpus/taulib/docs/book-i-boundary-tau-rat-abs/
TauLib.BookI.Boundary.TauRatField,taulib-sources/project/TauLib/BookI/Boundary/TauRatField.lean,TauLib/BookI/Boundary/TauRatField.lean,BookI,Boundary,230,81facbd681cb3443b265ea35711510adf5fbace4cd47a1dfecd9491f07fc5941,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatField.lean,/corpus/taulib/docs/book-i-boundary-tau-rat-field/
TauLib.BookI.Boundary.TauRatInv,taulib-sources/project/TauLib/BookI/Boundary/TauRatInv.lean,TauLib/BookI/Boundary/TauRatInv.lean,BookI,Boundary,202,af5c832ef23d42ffa86a1632fe2447bb5ab186a5eb85488350e9fc447618768c,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatInv.lean,/corpus/taulib/docs/book-i-boundary-tau-rat-inv/
TauLib.BookI.Boundary.TauRatOrder,taulib-sources/project/TauLib/BookI/Boundary/TauRatOrder.lean,TauLib/BookI/Boundary/TauRatOrder.lean,BookI,Boundary,250,f52ef5a2493a3cf782ee3427c944c399fc9e534172509ba52cb0624f3cb1a1ac,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRatOrder.lean,/corpus/taulib/docs/book-i-boundary-tau-rat-order/
TauLib.BookI.Boundary.TauRealAbs,taulib-sources/project/TauLib/BookI/Boundary/TauRealAbs.lean,TauLib/BookI/Boundary/TauRealAbs.lean,BookI,Boundary,172,9224cc7930defa79ac93634dd6c89a0539b694d88bf682cbfff769f296c7eb4e,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealAbs.lean,/corpus/taulib/docs/book-i-boundary-tau-real-abs/
TauLib.BookI.Boundary.TauRealAnalyticalHelpers,taulib-sources/project/TauLib/BookI/Boundary/TauRealAnalyticalHelpers.lean,TauLib/BookI/Boundary/TauRealAnalyticalHelpers.lean,BookI,Boundary,155,2f6e57610b0f7c93678dbb10e11651aaec116897e03658242f69955bcbb29178,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealAnalyticalHelpers.lean,/corpus/taulib/docs/book-i-boundary-tau-real-analytical-helpers/
TauLib.BookI.Boundary.TauRealE,taulib-sources/project/TauLib/BookI/Boundary/TauRealE.lean,TauLib/BookI/Boundary/TauRealE.lean,BookI,Boundary,208,bcd3fc55f16abbcb2d5e1428d94a3f1f9bd54753e25a2a69f7810ebdcae4d190,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealE.lean,/corpus/taulib/docs/book-i-boundary-tau-real-e/
TauLib.BookI.Boundary.TauRealInv,taulib-sources/project/TauLib/BookI/Boundary/TauRealInv.lean,TauLib/BookI/Boundary/TauRealInv.lean,BookI,Boundary,170,2fa7dc16297ab0a20364eef7cd008c9a6effe114444d1336ef1d9a6618f6809c,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealInv.lean,/corpus/taulib/docs/book-i-boundary-tau-real-inv/
TauLib.BookI.Boundary.TauRealIotaTau,taulib-sources/project/TauLib/BookI/Boundary/TauRealIotaTau.lean,TauLib/BookI/Boundary/TauRealIotaTau.lean,BookI,Boundary,167,ac14490782a5ad73ed03e93b437102acb9ea3ecfb0459048b3facec6813ca3bb,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealIotaTau.lean,/corpus/taulib/docs/book-i-boundary-tau-real-iota-tau/
TauLib.BookI.Boundary.TauRealMulCongr,taulib-sources/project/TauLib/BookI/Boundary/TauRealMulCongr.lean,TauLib/BookI/Boundary/TauRealMulCongr.lean,BookI,Boundary,179,048cc0a6a2e6364d90e589fa6a143773d60dc7f1ba9dfcfa5a2a7fbdbae8e7cc,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealMulCongr.lean,/corpus/taulib/docs/book-i-boundary-tau-real-mul-congr/
TauLib.BookI.Boundary.TauRealOrder,taulib-sources/project/TauLib/BookI/Boundary/TauRealOrder.lean,TauLib/BookI/Boundary/TauRealOrder.lean,BookI,Boundary,359,79d255ba904f3d3f344e549f2e6cba9c0efe85398ac7e75f534f22704d644e16,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealOrder.lean,/corpus/taulib/docs/book-i-boundary-tau-real-order/
TauLib.BookI.Boundary.TauRealPi,taulib-sources/project/TauLib/BookI/Boundary/TauRealPi.lean,TauLib/BookI/Boundary/TauRealPi.lean,BookI,Boundary,300,ec82331f6e7579561f9096230cceec56ebe3de429289cb1d386be02f4f1ee754,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealPi.lean,/corpus/taulib/docs/book-i-boundary-tau-real-pi/
TauLib.BookI.Boundary.TauRealPiPlusE,taulib-sources/project/TauLib/BookI/Boundary/TauRealPiPlusE.lean,TauLib/BookI/Boundary/TauRealPiPlusE.lean,BookI,Boundary,344,765e2847a0e43057d315cf40a477d557ec7d00ea1d5ef4e6d86e87293ed6144d,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealPiPlusE.lean,/corpus/taulib/docs/book-i-boundary-tau-real-pi-plus-e/
TauLib.BookI.Boundary.TauRealSum,taulib-sources/project/TauLib/BookI/Boundary/TauRealSum.lean,TauLib/BookI/Boundary/TauRealSum.lean,BookI,Boundary,192,4c07219f9c7db9efb46762bbcd06a7ecb3c42976f4547ea91c669d9e1d8c39d0,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TauRealSum.lean,/corpus/taulib/docs/book-i-boundary-tau-real-sum/
TauLib.BookI.Boundary.TorusDefectSystem,taulib-sources/project/TauLib/BookI/Boundary/TorusDefectSystem.lean,TauLib/BookI/Boundary/TorusDefectSystem.lean,BookI,Boundary,378,beed5d844a239b8fbc652acac95a9e40c0addf6d9d53b0680eb8abae869ede12,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/TorusDefectSystem.lean,/corpus/taulib/docs/book-i-boundary-torus-defect-system/
TauLib.BookI.Boundary.UniversalFixedScalar,taulib-sources/project/TauLib/BookI/Boundary/UniversalFixedScalar.lean,TauLib/BookI/Boundary/UniversalFixedScalar.lean,BookI,Boundary,377,58073f4a9b9ad4abf30528ebff2faee76a8151513ff4379cf9931c82dde50c90,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/UniversalFixedScalar.lean,/corpus/taulib/docs/book-i-boundary-universal-fixed-scalar/
TauLib.BookI.CF.WindowAlgebra,taulib-sources/project/TauLib/BookI/CF/WindowAlgebra.lean,TauLib/BookI/CF/WindowAlgebra.lean,BookI,CF,161,4db6f9604652af8e07817e64a80d21c9653e8910cdabf8cb69b07dab19535871,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/CF/WindowAlgebra.lean,/corpus/taulib/docs/book-i-cf-window-algebra/
TauLib.BookI.Coordinates.ABCD,taulib-sources/project/TauLib/BookI/Coordinates/ABCD.lean,TauLib/BookI/Coordinates/ABCD.lean,BookI,Coordinates,171,b69aea2f4934ea2182e0d2385904cfdcf24941a9e4ec5f23007c9ddca9eec334,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/ABCD.lean,/corpus/taulib/docs/book-i-coordinates-abcd/
TauLib.BookI.Coordinates.ChebyshevBias,taulib-sources/project/TauLib/BookI/Coordinates/ChebyshevBias.lean,TauLib/BookI/Coordinates/ChebyshevBias.lean,BookI,Coordinates,188,c60c975c0782cb8546121a679d677e49f45501398f46019891c9b5fc25fd27c5,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/ChebyshevBias.lean,/corpus/taulib/docs/book-i-coordinates-chebyshev-bias/
TauLib.BookI.Coordinates.Descent,taulib-sources/project/TauLib/BookI/Coordinates/Descent.lean,TauLib/BookI/Coordinates/Descent.lean,BookI,Coordinates,98,418d09d8f58199e77ba7a948cd64e5e346568cee152aebfed36392bb4bc93ce5,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/Descent.lean,/corpus/taulib/docs/book-i-coordinates-descent/
TauLib.BookI.Coordinates.Hyperfact,taulib-sources/project/TauLib/BookI/Coordinates/Hyperfact.lean,TauLib/BookI/Coordinates/Hyperfact.lean,BookI,Coordinates,126,b42b18a847499b216fd13e9d43ea14ef6040d8e17b52ec5f72e8617b7d10e643,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/Hyperfact.lean,/corpus/taulib/docs/book-i-coordinates-hyperfact/
TauLib.BookI.Coordinates.HyperfactFTA,taulib-sources/project/TauLib/BookI/Coordinates/HyperfactFTA.lean,TauLib/BookI/Coordinates/HyperfactFTA.lean,BookI,Coordinates,116,00611d4e2d13d56563172ad52d04921bb319256577c9e73222dcfb899a483f1a,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/HyperfactFTA.lean,/corpus/taulib/docs/book-i-coordinates-hyperfact-fta/
TauLib.BookI.Coordinates.HyperfactIsomorphism,taulib-sources/project/TauLib/BookI/Coordinates/HyperfactIsomorphism.lean,TauLib/BookI/Coordinates/HyperfactIsomorphism.lean,BookI,Coordinates,227,b9caeade14865f810d85d9b43a445f7f040324a2028c3dd0aa1e1abe0ff841cc,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/HyperfactIsomorphism.lean,/corpus/taulib/docs/book-i-coordinates-hyperfact-isomorphism/
TauLib.BookI.Coordinates.HyperfactProp,taulib-sources/project/TauLib/BookI/Coordinates/HyperfactProp.lean,TauLib/BookI/Coordinates/HyperfactProp.lean,BookI,Coordinates,137,2cd3a4bfa57b6a767fa6116e2a3e0a484ea62be9aa36137e28109c329eda8fe5,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Coordinates/HyperfactProp.lean,/corpus/taulib/docs/book-i-coordinates-hyperfact-prop/
